lat;lon;escola;logradouro;num;cidade;cod
-5.645220113933509;-35.424957924992384;ESCOLA ESTADUAL MONSENHOR CELSO CICCO;AV ENEAS CAVALCANTE;1525;CEARA-MIRIM - RN;283
-5.6348976091274725;-35.422344463615445;ESCOLA ESTADUAL IMACULADA CONCEICAO;R HERACLIO VILAR;725;CEARA-MIRIM - RN;284
-5.516379499999999;-35.26242740;ESCOLA ESTADUAL  RAIMUNDO DE OLIVEIRA;RUA STOESSEL DE BRITO;95;MAXARANGUAPE - RN;287
-5.466857999999999;-35.55727970;ESCOLA ISOLADA DE CANA BRAVA;POVOADO CANA BRAVA;0;PUREZA - RN;289
-5.466857999999999;-35.55727970;ESCOLA ESTADUAL MARIA ANTONIA;RUA DOUTOR JOSE VARELA;200;PUREZA - RN;290
-5.62216710;-35.59527210;ESCOLA ESTADUAL ADAO MARCELO DA ROCHA;RUA CANDIDO MARCOLINO;25;TAIPU - RN;299
-5.62216710;-35.59527210;ESCOLA ESTADUAL JOAQUIM NABUCO;R ANTONIO ALVES DA ROCHA;306;TAIPU - RN;300
-5.62216710;-35.59527210;ESCOLA ESTADUAL PROFESSOR CLOTILDE DE MOURA  LIMA;R ANTONIO GOMES DA COSTA;398;TAIPU - RN;301
-5.19918310;-35.46101180;ESCOLA ESTADUAL PROFESSORA ROSA CUNHA;POV SANTA LUZIA - R VER JOAO T S FILHO;1452;TOUROS - RN;303
-5.19918310;-35.46101180;ESCOLA ESTADUAL CORONEL ANTONIO DO LAGO;R CEL ANTONIO ANTUNES;54;TOUROS - RN;304
-5.19918310;-35.46101180;EE TAB JULIO MARIA;PRAIA DOS MARCOS;101;TOUROS - RN;305
-5.28915410;-36.75798590;ESCOLA ESTADUAL PROFESSOR LUIS CARLOS;RUA NOSSA SENHORA DO ROSARIO;329;ALTO DO RODRIGUES - RN;307
-5.28915410;-36.75798590;ESCOLA ESTADUAL PROFESSORA MARIA RODRIGUES GONCALVES;RUA FRANCISCO RODRIGUES;309;ALTO DO RODRIGUES - RN;308
-5.11477210;-36.27963810;ESCOLA ESTADUAL JOSE AUGUSTO VARELA;RUA PREFEITO NHO GALVAO;276;GALINHOS - RN;309
-5.0950020;-36.32482850;ESCOLA ESTADUAL NADIA MARIA CAMARA;TRAVESSA RITA DE CASSIA;2;GUAMARE - RN;310
-5.0950020;-36.32482850;EE MONS JOAQUIM HONORIO ENS FUND E MEDIO;RUA LUIZ DE SOUZA MIRANDA;246;GUAMARE - RN;311
-5.11126690;-36.62613980;ESCOLA ESTADUAL  DONANA AVELINO;RUA CONEGO VICENTE PIMENTEL;285;MACAU - RN;314
-5.11126690;-36.62613980;ESCOLA ESTADUAL  DUQUE DE CAXIAS;R AUGUSTO SEVERO;305;MACAU - RN;315
-5.11126690;-36.62613980;ESCOLA ESTADUAL  PROFESSOR JOSE OLAVO DO VALE;PRACA CAFE FILHO;139;MACAU - RN;317
-5.25773790;-36.72385970;ESCOLA ESTADUAL LUIZ GONZAGA;RUA MONSENHOR ASSIS;154;PENDENCIAS - RN;321
-5.25773790;-36.72385970;ESCOLA ESTADUAL MONSENHOR HONORIO;RUA IDALICE GONZAGA MONTENEGRO;57;PENDENCIAS - RN;322
-5.25773790;-36.72385970;ESCOLA ESTADUAL PEDRO ALVES DE MEDEIROS;RUA FELIX RODRIGUES;577;PENDENCIAS - RN;323
-5.06337150;-36.79237210;ESCOLA ESTADUAL PROFESSORA JOSELIA DE SOUZA SILVA;RUA JOSE ALVES MAIA;11;PORTO DO MANGUE - RN;324
-6.24344710;-36.1805370;ESCOLA ESTADUAL PROFESSORA MARIA ARIOENE DE SOUZA;RUA PEDRO CANDIDO SOBRINHO;38;CAMPO REDONDO - RN;326
-6.383344999999999;-36.21300040000001;ESCOLA ESTADUAL JOSE JOAQUIM;RUA GETULIO VARGAS;206;CORONEL EZEQUIEL - RN;327
-6.42592930;-36.20185730;ESCOLA ESTADUAL MANOEL FERNANDES;RUA MANOEL FORTUNATO;25;JACANA - RN;328
-6.42592930;-36.20185730;ESCOLA ESTADUAL PROFESSORA TEREZINHA CAROLINO DE SOUZA;RUA PREFEITO JOSE PEREIRA DA SILVA;182;JACANA - RN;329
-6.46109270;-35.94008730;ESCOLA ESTADUAL CORONEL MANOEL MEDEIROS II;RUA CEL MANOEL MEDEIROS;71;JAPI - RN;333
-6.46109270;-35.94008730;ESCOLA ESTADUAL SEVERINA PONTES DE MEDEIROS;RUA SEVERINO DA COSTA BELMONT;39;JAPI - RN;334
-6.15068550;-36.10624340;ESCOLA ESTADUAL SAO FRANCISCO;RUA JOAO FRANCISCO BORGES;112;LAJES PINTADAS - RN;335
